# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	1	0	0	0	0
2020-02-28	6	0	0	0	0
2020-02-29	8	0	0	0	0
2020-03-01	12	0	0	0	0
2020-03-02	12	0	0	0	0
2020-03-03	13	0	0	0	0
2020-03-04	13	0	0	1	0
2020-03-05	12	0	0	1	0
2020-03-06	21	0	0	1	0
2020-03-07	27	0	0	0	0
2020-03-08	35	0	0	0	0
2020-03-09	54	0	0	1	0
2020-03-10	71	0	0	1	0
2020-03-11	90	0	0	3	0
2020-03-12	115	0	0	4	0
2020-03-13	219	0	0	8	0
2020-03-14	269	2	0	0	0
2020-03-15	437	6	0	0	0
2020-03-16	554	7	0	11	0
2020-03-17	683	11	0	13	0
2020-03-18	859	19	0	21	38
2020-03-19	1008	23	0	25	33
2020-03-20	1287	30	0	38	72
2020-03-21	1515	40	0	53	72
