# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	2	0	0	1	0
2020-03-05	5	0	0	2	0
2020-03-06	5	0	0	2	0
2020-03-07	5	0	0	0	0
2020-03-08	7	0	0	0	0
2020-03-09	7	0	0	2	0
2020-03-10	22	0	0	2	0
2020-03-11	32	0	0	2	0
2020-03-12	47	1	0	2	0
2020-03-13	67	1	0	2	0
2020-03-14	92	1	0	0	0
2020-03-15	137	1	0	0	0
2020-03-16	177	1	0	3	3
2020-03-17	193	1	0	5	3
2020-03-18	242	1	0	5	4
2020-03-19	292	1	0	6	4
2020-03-20	344	2	0	7	12
2020-03-21	486	5	0	12	16
