# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	1	0	0	0	0
2020-02-28	1	0	0	0	0
2020-02-29	2	0	0	0	0
2020-03-01	2	0	0	0	0
2020-03-02	2	0	0	0	0
2020-03-03	2	0	0	0	0
2020-03-04	5	0	0	0	0
2020-03-05	6	0	0	0	0
2020-03-06	6	0	0	0	0
2020-03-07	6	0	0	0	0
2020-03-08	8	0	0	0	0
2020-03-09	11	0	0	0	0
2020-03-10	13	0	0	1	0
2020-03-11	16	0	0	1	0
2020-03-12	22	1	0	2	0
2020-03-13	30	1	0	2	0
2020-03-14	28	1	0	0	0
2020-03-15	28	1	0	0	0
2020-03-16	73	1	0	4	1
2020-03-17	92	1	0	4	1
2020-03-18	112	1	0	4	4
2020-03-19	169	2	0	7	6
2020-03-20	203	2	0	10	10
2020-03-21	246	4	0	14	11
