# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	ICU	recovered
2020-02-27	2	0	0	0
2020-02-28	8	0	0	0
2020-02-29	10	0	0	0
2020-03-01	15	0	0	0
2020-03-02	15	0	0	0
2020-03-03	15	0	0	0
2020-03-04	19	1	0	0
2020-03-05	19	1	0	0
2020-03-06	30	1	1	0
2020-03-07	30	1	0	0
2020-03-08	37	1	0	0
2020-03-09	37	1	1	0
2020-03-10	50	1	1	0
2020-03-11	65	1	1	0
2020-03-12	76	1	2	0
2020-03-13	94	1	2	0
2020-03-14	130	4	0	0
2020-03-15	409	5	0	0
2020-03-16	409	5	4	2
2020-03-17	541	13	27	12
2020-03-18	726	22	40	16
2020-03-19	921	24	52	19
2020-03-20	1105	33	71	20
2020-03-21	1363	50	84	25
