# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	ICU	recovered
2020-02-27	6	0	0	0
2020-02-28	6	0	0	0
2020-02-29	6	0	0	0
2020-03-01	7	0	0	0
2020-03-02	7	0	0	0
2020-03-03	7	0	0	0
2020-03-04	7	0	0	0
2020-03-05	8	0	0	0
2020-03-06	11	0	0	0
2020-03-07	18	0	0	0
2020-03-08	17	0	0	0
2020-03-09	22	0	0	0
2020-03-10	25	0	1	0
2020-03-11	37	0	1	0
2020-03-12	51	0	3	0
2020-03-13	70	0	2	0
2020-03-14	90	1	0	0
2020-03-15	109	1	0	0
2020-03-16	119	1	9	7
2020-03-17	148	2	13	8
2020-03-18	181	3	17	8
2020-03-19	220	3	23	9
2020-03-20	287	4	25	6
2020-03-21	348	7	29	7
