# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	10	0	0	0	0
2020-03-03	10	0	0	0	0
2020-03-04	10	0	0	0	0
2020-03-05	10	0	0	0	0
2020-03-06	10	0	0	0	0
2020-03-07	10	0	0	0	0
2020-03-08	12	0	0	0	0
2020-03-09	12	0	0	0	0
2020-03-10	12	0	0	0	0
2020-03-11	12	0	0	0	0
2020-03-12	16	0	0	0	0
2020-03-13	29	0	0	0	0
2020-03-14	31	0	0	0	0
2020-03-15	51	0	0	0	0
2020-03-16	58	0	0	2	10
2020-03-17	58	0	0	2	10
2020-03-18	68	1	0	3	10
2020-03-19	83	1	0	4	10
2020-03-20	144	1	0	7	10
2020-03-21	215	2	0	9	11
