# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	2	0	0	0	0
2020-02-29	2	0	0	0	0
2020-03-01	3	0	0	0	0
2020-03-02	3	0	0	0	0
2020-03-03	8	0	0	0	0
2020-03-04	11	0	0	1	0
2020-03-05	11	0	0	1	0
2020-03-06	14	0	0	1	0
2020-03-07	14	0	0	0	0
2020-03-08	22	0	0	0	0
2020-03-09	23	0	0	1	0
2020-03-10	56	0	0	2	0
2020-03-11	71	0	0	2	0
2020-03-12	92	0	0	4	0
2020-03-13	169	1	0	8	0
2020-03-14	223	3	0	0	0
2020-03-15	292	6	0	0	0
2020-03-16	334	9	0	24	5
2020-03-17	431	12	0	24	5
2020-03-18	668	22	0	43	5
2020-03-19	868	29	0	54	27
2020-03-20	1147	43	0	69	37
2020-03-21	1466	55	0	85	54
