# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	3	0	0	0	0
2020-03-03	7	0	0	0	0
2020-03-04	12	0	0	1	0
2020-03-05	13	0	0	1	0
2020-03-06	15	0	0	1	0
2020-03-07	15	0	0	0	0
2020-03-08	15	0	0	0	0
2020-03-09	26	0	0	2	0
2020-03-10	39	0	0	2	0
2020-03-11	71	0	0	5	0
2020-03-12	115	1	0	9	0
2020-03-13	194	5	0	10	0
2020-03-14	289	6	0	0	0
2020-03-15	401	10	0	0	0
2020-03-16	567	17	0	23	12
2020-03-17	567	17	0	23	12
2020-03-18	675	28	0	29	15
2020-03-19	801	42	0	37	27
2020-03-20	1044	42	0	53	34
2020-03-21	1423	84	0	65	38
