# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	2	0	0	0	0
2020-02-28	3	0	0	0	0
2020-02-29	5	0	0	0	0
2020-03-01	6	0	0	0	0
2020-03-02	15	0	0	0	0
2020-03-03	15	0	0	0	0
2020-03-04	15	0	0	0	0
2020-03-05	24	0	0	0	0
2020-03-06	24	0	0	0	0
2020-03-07	24	1	0	0	0
2020-03-08	49	1	0	0	0
2020-03-09	75	1	0	0	0
2020-03-10	124	3	0	0	0
2020-03-11	156	3	0	0	0
2020-03-12	260	4	0	0	0
2020-03-13	316	4	0	25	0
2020-03-14	509	6	0	0	0
2020-03-15	715	8	0	0	0
2020-03-16	903	12	0	33	0
2020-03-17	1394	18	0	33	0
2020-03-18	1866	41	0	33	0
2020-03-19	2702	55	0	33	0
2020-03-20	3270	82	0	33	150
2020-03-21	4203	122	0	298	150
