# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	4	0	0	0	0
2020-03-02	6	0	0	0	0
2020-03-03	6	0	0	0	0
2020-03-04	6	0	0	0	0
2020-03-05	6	0	0	0	0
2020-03-06	6	0	0	0	0
2020-03-07	6	0	0	0	0
2020-03-08	6	0	0	0	0
2020-03-09	7	0	0	0	0
2020-03-10	8	0	0	0	0
2020-03-11	9	0	0	1	0
2020-03-12	19	1	0	1	0
2020-03-13	39	1	0	1	0
2020-03-14	66	2	0	0	0
2020-03-15	95	2	0	0	0
2020-03-16	111	2	0	1	4
2020-03-17	153	3	0	2	5
2020-03-18	194	6	0	3	6
2020-03-19	241	8	0	3	6
2020-03-20	297	10	0	4	7
2020-03-21	354	12	0	6	8
