# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	0	0	0	0	0
2020-03-03	0	0	0	0	0
2020-03-04	1	0	0	0	0
2020-03-05	1	0	0	0	0
2020-03-06	3	0	0	0	0
2020-03-07	3	0	0	0	0
2020-03-08	5	0	0	0	0
2020-03-09	6	0	0	0	0
2020-03-10	22	0	0	2	0
2020-03-11	39	0	0	2	0
2020-03-12	35	0	0	2	0
2020-03-13	85	0	0	2	0
2020-03-14	115	0	0	0	0
2020-03-15	195	2	0	0	0
2020-03-16	245	2	0	9	4
2020-03-17	292	3	0	9	7
2020-03-18	341	3	0	12	7
2020-03-19	453	4	0	15	4
2020-03-20	578	5	0	19	5
2020-03-21	739	9	0	29	6
