# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	0	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	3	0	0	0	0
2020-03-04	7	0	0	0	0
2020-03-05	11	0	0	0	0
2020-03-06	29	0	0	0	0
2020-03-07	39	0	0	0	0
2020-03-08	55	0	0	0	0
2020-03-09	81	0	0	1	0
2020-03-10	144	1	0	1	0
2020-03-11	179	2	0	1	0
2020-03-12	205	2	0	1	0
2020-03-13	243	2	0	2	0
2020-03-14	278	3	0	0	0
2020-03-15	300	3	0	0	0
2020-03-16	312	4	0	13	2
2020-03-17	355	5	0	13	2
2020-03-18	419	5	0	13	2
2020-03-19	468	5	0	15	2
2020-03-20	497	7	0	15	13
2020-03-21	564	15	0	17	18
