# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	0	0	0	0	0
2020-02-28	0	0	0	0	0
2020-02-29	0	0	0	0	0
2020-03-01	1	0	0	0	0
2020-03-02	1	0	0	0	0
2020-03-03	1	0	0	0	0
2020-03-04	3	0	0	1	0
2020-03-05	3	0	0	1	0
2020-03-06	3	0	0	1	0
2020-03-07	3	0	0	0	0
2020-03-08	3	0	0	0	0
2020-03-09	3	0	0	1	0
2020-03-10	12	0	0	2	0
2020-03-11	46	0	0	3	0
2020-03-12	73	0	0	3	0
2020-03-13	130	0	0	4	0
2020-03-14	146	0	0	0	0
2020-03-15	183	0	0	0	0
2020-03-16	274	1	0	5	0
2020-03-17	313	2	0	10	0
2020-03-18	386	3	0	10	0
2020-03-19	482	4	0	11	0
2020-03-20	554	5	0	19	1
2020-03-21	664	9	0	25	1
