# Data source: https://github.com/datadista/datasets/tree/master/COVID%2019
# Data provenance: Spanish Ministry of Health, Consumer Affairs and Social Welfare via datadista.com
# License: none specified
time	cases	deaths	hospitalized	ICU	recovered
2020-02-27	16	0	0	0	0
2020-02-28	32	0	0	0	0
2020-02-29	44	0	0	0	0
2020-03-01	66	0	0	0	0
2020-03-02	114	0	0	0	0
2020-03-03	150	0	0	0	0
2020-03-04	198	1	0	7	0
2020-03-05	237	3	0	9	0
2020-03-06	365	5	0	11	0
2020-03-07	430	8	0	0	0
2020-03-08	589	17	0	0	0
2020-03-09	999	17	0	68	0
2020-03-10	1622	35	0	100	0
2020-03-11	2128	47	0	142	0
2020-03-12	2950	84	0	190	0
2020-03-13	4209	120	0	272	0
2020-03-14	5753	136	0	0	0
2020-03-15	7753	288	0	0	0
2020-03-16	9191	309	0	432	530
2020-03-17	11178	491	0	563	1028
2020-03-18	13716	598	0	774	1081
2020-03-19	17147	767	0	939	1107
2020-03-20	19980	1002	0	1141	1585
2020-03-21	24926	1326	0	1612	2125
